iter	RMSE
0	0.3878997293
1	0.3768732562
2	0.3665596149
3	0.3561411515
4	0.3461641572
5	0.3372349647
6	0.3287234539
7	0.3210521367
8	0.3132205107
9	0.3052952642
10	0.2975625681
11	0.2902139107
12	0.2830498485
13	0.2765728281
14	0.2700213435
15	0.2637037432
16	0.2578218192
17	0.2519353805
18	0.2470552925
19	0.2418664328
20	0.236745709
21	0.2318502974
22	0.2271213129
23	0.2229657599
24	0.2187846055
25	0.2147720597
26	0.2110425536
27	0.2070837452
28	0.2038580413
29	0.2005595623
30	0.1977368609
31	0.1946706448
32	0.1917397867
33	0.1887413898
34	0.1864629975
35	0.1837837141
36	0.1810537749
37	0.1787844052
38	0.1768316838
39	0.1745789793
40	0.1727017485
41	0.170590401
42	0.1686644491
43	0.1668104545
44	0.1648616698
45	0.1628300932
46	0.1611638955
47	0.1595891618
48	0.157917306
49	0.156395296
50	0.1549295312
51	0.1535673541
52	0.1523742958
53	0.1511939236
54	0.1498528347
55	0.1488184501
56	0.1474799155
57	0.1464375889
58	0.1453642839
59	0.1441916927
60	0.1431935661
61	0.1420473378
62	0.1412178405
63	0.1401695154
64	0.1393314935
65	0.1385296718
66	0.1375818167
67	0.136886565
68	0.1359958675
69	0.1349643392
70	0.1341724124
71	0.1334733951
72	0.1325860387
73	0.1318240505
74	0.1309995602
75	0.1300604271
76	0.1294235948
77	0.1287422579
78	0.1279670243
79	0.1274549464
80	0.1268320094
81	0.1262063623
82	0.1256573506
83	0.1249891338
84	0.1243153184
85	0.12381037
86	0.1231513168
87	0.1227387798
88	0.1221324862
89	0.1215467107
90	0.1209329694
91	0.1205561962
92	0.1200490508
93	0.1196228037
94	0.1191951264
95	0.1187960981
96	0.1184570268
97	0.1179108129
98	0.117399744
99	0.1169314194
100	0.1165392527
101	0.1162093553
102	0.1155831815
103	0.1150959701
104	0.1146700087
105	0.1143313034
106	0.1139836891
107	0.113620964
108	0.1131972396
109	0.1127293836
110	0.1123862549
111	0.1120073675
112	0.1116502439
113	0.111287343
114	0.1109580479
115	0.1105602336
116	0.1101687543
117	0.1098769534
118	0.1095234347
119	0.1092428889
120	0.1089120687
121	0.10859531
122	0.1083973049
123	0.1082393569
124	0.1079423653
125	0.1076708731
126	0.1073838838
127	0.1071422177
128	0.1067730813
129	0.1064827142
130	0.1062002425
131	0.1059303275
132	0.1056205118
133	0.105325962
134	0.1050012404
135	0.1046292863
136	0.1044343526
137	0.1042449404
138	0.1039601131
139	0.1037425509
140	0.1034639144
141	0.1032677725
142	0.1031731889
143	0.1029451619
144	0.102651816
145	0.1023269213
146	0.102217038
147	0.1020062461
148	0.1018546074
149	0.1016551806
150	0.1014674918
151	0.1012624616
152	0.1010462833
153	0.1008410774
154	0.1006844167
155	0.100411308
156	0.1002398779
157	0.1000474778
158	0.09987534573
159	0.0996929213
160	0.09957352896
161	0.09931993436
162	0.09903536602
163	0.09881486109
164	0.09847799036
165	0.09830871927
166	0.09813286266
167	0.09797449959
168	0.09772400476
169	0.09750742462
170	0.09730512608
171	0.09715238725
172	0.0969110597
173	0.09666915365
174	0.09652933094
175	0.09640017253
176	0.09615990899
177	0.0959545466
178	0.09566208747
179	0.09549513621
180	0.09528756075
181	0.0950855649
182	0.09494670783
183	0.09468469796
184	0.09448862109
185	0.09420524664
186	0.09404798497
187	0.09378643969
188	0.09358737498
189	0.09345239076
190	0.09323894013
191	0.09301385798
192	0.0928017559
193	0.0925827108
194	0.0924239304
195	0.09220293423
196	0.09203934805
197	0.0918714418
198	0.09167348637
199	0.09148993188
200	0.09130634557
201	0.09114752623
202	0.09092353819
203	0.0907377385
204	0.09056574314
205	0.09039438764
206	0.0902375894
207	0.09009586239
208	0.08991560169
209	0.08973681229
210	0.08955053086
211	0.08938451469
212	0.08924409723
213	0.08906878328
214	0.08887607601
215	0.08872413258
216	0.0886256157
217	0.08847030967
218	0.088293923
219	0.08816034427
220	0.08798250269
221	0.08778611
222	0.08764998166
223	0.08752307146
224	0.08739177981
225	0.08726607472
226	0.08720450334
227	0.08705517089
228	0.08697409191
229	0.08689575002
230	0.08671265285
231	0.08661051062
232	0.08647830343
233	0.08634863192
234	0.08620107014
235	0.08610514729
236	0.0859642092
237	0.08585841828
238	0.0856923075
239	0.08556379067
240	0.08547677607
241	0.08533545083
242	0.08522264191
243	0.08510857927
244	0.08499430709
245	0.08477431013
246	0.08461635088
247	0.08445978123
248	0.08435922256
249	0.08419122109
250	0.08400410809
251	0.08382217007
252	0.08364754953
253	0.08349298151
254	0.0833269721
255	0.08315978097
256	0.08301152507
257	0.08282865569
258	0.08270169059
259	0.08253076553
260	0.08247900846
261	0.08245133575
262	0.08228000826
263	0.0821590925
264	0.08209135704
265	0.08193334962
266	0.08180861783
267	0.08166521469
268	0.08159849918
269	0.08147510072
270	0.08135500151
271	0.0811845344
272	0.08099389971
273	0.0808513059
274	0.08077906015
275	0.08066754255
276	0.08055762781
277	0.08040807706
278	0.08029014477
279	0.0801548562
280	0.08004570672
281	0.07992419907
282	0.0797988365
283	0.07971618003
284	0.07955716105
285	0.079386312
286	0.07931763231
287	0.07923373402
288	0.07910570232
289	0.07902291997
290	0.07887621985
291	0.07874749786
292	0.07860685525
293	0.07846839283
294	0.07842416675
295	0.078295048
296	0.07818956003
297	0.07805880813
298	0.07795112861
299	0.07786377328
300	0.07774293394
301	0.07766471187
302	0.07753303595
303	0.07746260383
304	0.07731659871
305	0.07719022849
306	0.07707202542
307	0.07695314917
308	0.07686765288
309	0.0767810225
310	0.07659990348
311	0.0764538959
312	0.07634721501
313	0.0762218502
314	0.07608702952
315	0.07598396447
316	0.07580399952
317	0.07574580421
318	0.07568325124
319	0.07556136017
320	0.07547998312
321	0.07534567341
322	0.075221272
323	0.07514677263
324	0.0749859784
325	0.07486608877
326	0.07478960516
327	0.07469698695
328	0.07462536064
329	0.07456352531
330	0.07447614166
331	0.07436928478
332	0.0742719276
333	0.07414935469
334	0.07402251519
335	0.07389124066
336	0.07378188847
337	0.07363040043
338	0.07349701966
339	0.07338384807
340	0.07332631317
341	0.07320922482
342	0.07312990574
343	0.0729912785
344	0.07283776548
345	0.07273345831
346	0.0726367279
347	0.07248862585
348	0.07237854895
349	0.07224421201
350	0.07216444804
351	0.07212352588
352	0.07204911206
353	0.07193230068
354	0.0718354619
355	0.07173458581
356	0.07163980583
357	0.07152302394
358	0.07141226944
359	0.07132729724
360	0.07123687317
361	0.07115012389
362	0.07109401294
363	0.07098680784
364	0.07089118558
365	0.07082326061
366	0.07069600921
367	0.07064600822
368	0.07060678044
369	0.07051804169
370	0.07047924169
371	0.07036160545
372	0.07021368893
373	0.07013871999
374	0.07004897719
375	0.07002060408
376	0.06998428189
377	0.06993171374
378	0.0697897852
379	0.06965287638
380	0.06949223915
381	0.06937075349
382	0.06933725494
383	0.06916600011
384	0.06905238684
385	0.06895055056
386	0.06883371081
387	0.06876262734
388	0.06866132331
389	0.06855432853
390	0.06850020536
391	0.06838573995
392	0.06831576044
393	0.06821397675
394	0.06814022229
395	0.06803158075
396	0.06792489963
397	0.06781871689
398	0.06772884804
399	0.06759840359
400	0.06747026011
401	0.06735828327
402	0.06722518948
403	0.0671544595
404	0.06709359348
405	0.0669907123
406	0.06691662581
407	0.06684403606
408	0.0667620582
409	0.06662166179
410	0.06652324225
411	0.06642349679
412	0.06633132834
413	0.06624814072
414	0.06618159171
415	0.06609548233
416	0.06602936286
417	0.06596166513
418	0.0658976964
419	0.06578535524
420	0.06566711039
421	0.06560855462
422	0.06553543919
423	0.06545035897
424	0.06535169309
425	0.06527981853
426	0.06525164074
427	0.06516867197
428	0.06506012035
429	0.06501333327
430	0.06496072319
431	0.06490518495
432	0.06484837341
433	0.06477251652
434	0.06470052948
435	0.06460209643
436	0.06450064094
437	0.06440660665
438	0.06429156362
439	0.06421505985
440	0.06414124618
441	0.0640736625
442	0.06397809368
443	0.06389848978
444	0.06381568082
445	0.06371888185
446	0.06367049034
447	0.06359650808
448	0.06350189589
449	0.06341809163
450	0.06335489916
451	0.06329012786
452	0.06317706515
453	0.06310418196
454	0.06297234395
455	0.06289159076
456	0.06280362331
457	0.06275793241
458	0.06269305671
459	0.06263187932
460	0.06251582197
461	0.06246711158
462	0.06237916343
463	0.06231365584
464	0.06226791414
465	0.06216999863
466	0.06207882066
467	0.0620681834
468	0.06200292175
469	0.06189684185
470	0.06182914585
471	0.06172202704
472	0.06163794256
473	0.06154786895
474	0.06146615891
475	0.06139334779
476	0.06134156595
477	0.06125240169
478	0.06115368732
479	0.06107920497
480	0.06099856874
481	0.06096442018
482	0.06086560576
483	0.0607624868
484	0.06070307254
485	0.06064615023
486	0.06062585664
487	0.06057731318
488	0.06052828028
489	0.06048978036
490	0.06040805361
491	0.06031041632
492	0.06021602746
493	0.06012516123
494	0.06005305521
495	0.05998395913
496	0.05992946675
497	0.05988414457
498	0.05981927241
499	0.05974939668
500	0.05966899008
501	0.05962221002
502	0.0595395536
503	0.05950021588
504	0.0594343735
505	0.05941765701
506	0.05932425031
507	0.05920794503
508	0.05914874048
509	0.05907745264
510	0.05899235558
511	0.05889425588
512	0.05881447479
513	0.05879476081
514	0.05871231008
515	0.05866937728
516	0.05864362206
517	0.05855248531
518	0.05843961622
519	0.05838237482
520	0.05829433746
521	0.05819237346
522	0.05812262843
523	0.05809391687
524	0.05805225076
525	0.05800451726
526	0.05791249116
527	0.05783924775
528	0.05781727657
529	0.05775686754
530	0.05768313131
531	0.05763439859
532	0.05757629198
533	0.05755864016
534	0.05746240527
535	0.05741761754
536	0.05737474424
537	0.05731245527
538	0.05723365946
539	0.05718784521
540	0.05712370135
541	0.0570523229
542	0.05699809241
543	0.05694791754
544	0.05687798889
545	0.05680173709
546	0.05670629299
547	0.05662885508
548	0.05656131533
549	0.0564759824
550	0.0564585154
551	0.05638434219
552	0.05633453596
553	0.05625505896
554	0.05616765394
555	0.05608878858
556	0.05602558777
557	0.05596821518
558	0.05592629661
559	0.05584442279
560	0.05577589338
561	0.05569894664
562	0.05561615246
563	0.05556307362
564	0.05552513593
565	0.05547950175
566	0.05542649277
567	0.05535557831
568	0.05526465606
569	0.05520467727
570	0.05515191203
571	0.05513267555
572	0.05505526188
573	0.05499782318
574	0.05492561635
575	0.05484673122
576	0.05481430676
577	0.05476286046
578	0.05467404154
579	0.05460482987
580	0.05456727829
581	0.0544640599
582	0.05438261604
583	0.0543281894
584	0.05424049074
585	0.05417076989
586	0.05408667489
587	0.05403237203
588	0.0539532475
589	0.0539006793
590	0.05387442814
591	0.05383894015
592	0.05379355107
593	0.05373700741
594	0.05369010073
595	0.05364843512
596	0.05359048857
597	0.05353674566
598	0.05346736115
599	0.05341483068
600	0.05336436244
601	0.05334258625
602	0.05327621978
603	0.05320024748
604	0.05312649198
605	0.05307601379
606	0.05305504576
607	0.05300268126
608	0.05294797617
609	0.05289762761
610	0.05282321685
611	0.0527802838
612	0.05270773933
613	0.05269112893
614	0.05263398143
615	0.0525711621
616	0.05251693233
617	0.05248484393
618	0.05241798
619	0.05240314813
620	0.05232066625
621	0.05230369252
622	0.05221171509
623	0.05215938144
624	0.05210187196
625	0.05203977765
626	0.05202215304
627	0.05198059727
628	0.05196029195
629	0.05192836207
630	0.05187775219
631	0.05180826584
632	0.05178676774
633	0.05173002269
634	0.05164097503
635	0.05155346116
636	0.05150351101
637	0.05145972517
638	0.05144569797
639	0.05140127977
640	0.05134747805
641	0.05128892926
642	0.05122073082
643	0.05120296404
644	0.05115654664
645	0.05108763499
646	0.05102148045
647	0.05092281502
648	0.05083699854
649	0.05078542265
650	0.05072720392
651	0.05067981252
652	0.05061497784
653	0.05054807155
654	0.050501264
655	0.05043322964
656	0.05037841825
657	0.05029725211
658	0.05018400297
659	0.050146683
660	0.05005215935
661	0.05002782355
662	0.04995523399
663	0.04984490636
664	0.04979802951
665	0.04976125223
666	0.04969036726
667	0.04965618883
668	0.04962559319
669	0.04957484172
670	0.04949566115
671	0.04943815624
672	0.0493907362
673	0.04936585741
674	0.04933050118
675	0.04928104411
676	0.04925574982
677	0.04914900425
678	0.04911349667
679	0.04903012385
680	0.04897891599
681	0.04891937267
682	0.04887667432
683	0.04886692663
684	0.04884738575
685	0.04882908313
686	0.04878640204
687	0.04872526435
688	0.04863610785
689	0.04858096051
690	0.04855857679
691	0.04852284478
692	0.04845665126
693	0.0483978858
694	0.0483843397
695	0.04830794927
696	0.0482456302
697	0.04817936142
698	0.04809906241
699	0.04803371874
700	0.0479923096
701	0.04790733049
702	0.04784061109
703	0.04777642542
704	0.04773333335
705	0.04767030835
706	0.04761546071
707	0.04758178938
708	0.04753483622
709	0.04745105996
710	0.04741683821
711	0.04736440827
712	0.04732168752
713	0.04730170335
714	0.04722233543
715	0.04717446128
716	0.0471220162
717	0.04708263353
718	0.04704774288
719	0.04698833046
720	0.0469390084
721	0.04686589363
722	0.04680335564
723	0.04674044754
724	0.04668340572
725	0.04665742455
726	0.04659910297
727	0.04655521076
728	0.04650854208
729	0.04646179249
730	0.04640202722
731	0.046338499
732	0.04633049032
733	0.04627883327
734	0.04624744501
735	0.04616140584
736	0.04611424665
737	0.04606334765
738	0.04601251839
739	0.04595615848
740	0.04588215075
741	0.04584406479
742	0.04578827137
743	0.04573677172
744	0.04573364661
745	0.04567796376
746	0.04561472209
747	0.04555131205
748	0.04550177353
749	0.04544698218
750	0.04536279746
751	0.04531159997
752	0.04526279295
753	0.04522306675
754	0.04516347119
755	0.04510276252
756	0.04505531437
757	0.04497008312
758	0.04494347427
759	0.04489230197
760	0.0448478257
761	0.0448079832
762	0.04475825656
763	0.04470909559
764	0.04465913062
765	0.04460146136
766	0.04456081185
767	0.04449262894
768	0.0444543675
769	0.04439670342
770	0.04434811895
771	0.04427656799
772	0.04420734881
773	0.04412904011
774	0.04409213777
775	0.04401559551
776	0.04393841852
777	0.04387481724
778	0.04381936204
779	0.04379993025
780	0.04372031008
781	0.04365311545
782	0.04360182567
783	0.04355770129
784	0.0435023221
785	0.0434484819
786	0.04340256696
787	0.04337607009
788	0.04332983511
789	0.04326426267
790	0.04321779818
791	0.04319062317
792	0.04312516096
793	0.04308139482
794	0.04302812639
795	0.04297458744
796	0.04295752592
797	0.04291604457
798	0.04287854823
799	0.04282922061
800	0.04277828931
801	0.04274065381
802	0.04270525383
803	0.04264757093
804	0.04258380789
805	0.04255303912
806	0.04249446205
807	0.04244999942
808	0.04238293544
809	0.04235937834
810	0.04231668481
811	0.04228082917
812	0.04223681175
813	0.04217929901
814	0.04214373131
815	0.04206147245
816	0.04205026117
817	0.04200131551
818	0.04194714248
819	0.041882423
820	0.04183856094
821	0.04179843884
822	0.04172366482
823	0.04167511287
824	0.04161454853
825	0.04154939751
826	0.04150602313
827	0.04144411665
828	0.04139015643
829	0.04132642508
830	0.04128455892
831	0.04124921744
832	0.04117977519
833	0.04114332361
834	0.0411208153
835	0.04111724384
836	0.04108779447
837	0.04104368217
838	0.04099287401
839	0.04094547722
840	0.04090398005
841	0.04086562862
