iter	Passed	Remaining
322	653	1370
323	655	1367
324	656	1364
325	658	1362
326	660	1358
327	661	1355
328	663	1352
329	664	1349
330	665	1345
331	667	1342
332	670	1342
333	671	1338
334	672	1335
335	674	1332
336	675	1329
337	677	1327
338	679	1324
339	680	1321
340	682	1318
341	683	1314
342	684	1311
343	685	1308
344	687	1305
345	689	1303
346	690	1300
347	692	1297
348	693	1294
349	695	1291
350	697	1289
351	699	1288
352	701	1284
353	702	1281
354	703	1278
355	705	1275
356	706	1272
357	708	1269
358	710	1267
359	712	1266
360	713	1263
361	714	1260
362	716	1257
363	717	1254
364	719	1251
365	721	1250
366	723	1247
367	724	1244
368	726	1241
369	727	1239
370	729	1236
371	730	1233
372	731	1230
373	733	1228
374	735	1225
375	736	1222
376	737	1219
377	739	1216
378	740	1213
379	742	1211
380	743	1208
381	745	1206
382	747	1203
383	748	1200
384	749	1197
385	751	1196
386	753	1193
387	754	1190
388	756	1188
389	758	1186
390	759	1183
391	761	1180
392	762	1177
393	763	1174
394	765	1172
395	766	1169
396	768	1167
397	770	1165
398	771	1162
399	773	1160
400	774	1157
401	776	1155
402	778	1153
403	779	1150
404	781	1148
405	782	1145
406	784	1142
407	786	1141
408	787	1138
409	789	1135
410	791	1133
411	792	1131
412	793	1128
413	795	1125
414	796	1123
415	798	1120
416	799	1117
417	801	1115
418	802	1113
419	804	1110
420	806	1108
421	807	1105
422	809	1103
423	810	1101
424	812	1098
425	814	1096
426	816	1095
427	817	1093
428	819	1090
429	820	1087
430	822	1085
431	824	1083
432	827	1083
433	829	1081
434	830	1078
435	831	1076
436	833	1073
437	834	1071
438	836	1069
439	838	1067
440	840	1065
441	841	1062
442	843	1060
443	844	1057
444	846	1055
445	850	1056
446	851	1053
447	853	1051
448	854	1048
449	856	1046
450	857	1043
451	858	1041
452	861	1040
453	862	1037
454	864	1035
455	866	1033
456	868	1031
457	869	1029
458	872	1028
459	874	1026
460	876	1024
461	877	1021
462	878	1018
463	880	1016
464	885	1018
465	887	1016
466	889	1015
467	892	1015
468	895	1014
469	897	1012
470	901	1012
471	902	1009
472	904	1007
473	906	1006
474	909	1005
475	911	1003
476	913	1002
477	915	999
478	916	997
479	918	995
480	920	992
481	921	990
482	923	988
483	924	985
484	926	984
485	928	981
486	931	981
487	933	979
488	935	977
489	938	977
490	942	977
491	946	977
492	955	982
493	959	983
494	962	981
495	964	980
496	967	978
497	968	976
498	971	975
499	973	973
500	975	971
501	977	969
502	978	967
503	980	964
504	982	962
505	983	960
506	984	957
507	988	957
508	990	955
509	991	953
510	993	950
511	994	948
512	996	945
513	997	943
514	999	941
515	1000	938
516	1002	936
517	1003	934
518	1005	931
519	1006	929
520	1008	927
521	1011	925
522	1012	923
523	1014	921
524	1015	918
525	1017	916
526	1018	914
527	1020	911
528	1021	909
529	1023	907
530	1025	905
531	1026	903
532	1028	901
533	1030	898
534	1031	896
535	1034	895
536	1036	893
537	1038	891
538	1039	889
539	1041	887
540	1043	885
541	1045	883
542	1047	881
543	1049	879
544	1051	877
545	1052	875
546	1054	873
547	1058	873
548	1060	871
549	1062	869
550	1065	867
551	1067	866
552	1070	865
553	1072	863
554	1074	861
555	1076	859
556	1077	857
557	1080	856
558	1083	854
559	1085	853
560	1088	851
561	1092	851
562	1095	850
563	1098	849
564	1100	847
565	1105	848
566	1108	846
567	1110	844
568	1111	842
569	1113	839
570	1115	838
571	1117	836
572	1119	834
573	1121	832
574	1123	830
575	1126	829
576	1128	827
577	1130	825
578	1132	823
579	1133	820
580	1137	820
581	1139	818
582	1142	816
583	1143	814
584	1144	812
585	1148	811
586	1151	810
587	1153	808
588	1156	807
589	1160	806
590	1163	805
591	1169	806
592	1174	806
593	1176	804
594	1179	802
595	1180	800
596	1182	798
597	1184	795
598	1185	793
599	1189	793
600	1191	791
601	1193	789
602	1195	786
603	1196	784
604	1197	782
605	1200	780
606	1201	778
607	1203	776
608	1205	773
609	1206	771
610	1208	769
611	1209	766
612	1210	764
613	1212	762
614	1214	760
615	1215	757
616	1216	755
617	1218	753
618	1219	750
619	1220	748
620	1223	746
621	1225	744
622	1226	742
623	1228	740
624	1230	738
625	1232	736
626	1239	737
627	1240	734
628	1242	732
629	1243	730
630	1250	731
631	1251	728
632	1253	726
633	1254	724
634	1256	722
635	1258	720
636	1260	718
637	1261	716
638	1263	713
639	1265	711
640	1267	709
641	1270	708
642	1271	706
643	1273	703
644	1274	701
645	1276	699
646	1278	697
647	1279	695
648	1281	693
649	1284	691
650	1285	689
651	1287	687
652	1289	685
653	1291	683
654	1293	681
655	1295	679
656	1297	677
657	1299	675
658	1300	672
659	1301	670
660	1306	670
661	1308	667
662	1309	665
663	1310	663
664	1312	661
665	1315	659
666	1316	657
667	1318	655
668	1319	652
669	1320	650
670	1322	648
671	1323	646
672	1326	644
673	1327	642
674	1329	640
675	1330	637
676	1332	635
677	1333	633
678	1335	631
679	1337	629
680	1338	627
681	1340	624
682	1341	622
683	1343	620
684	1344	618
685	1346	616
686	1347	614
687	1349	612
688	1352	610
689	1354	608
690	1355	606
691	1357	604
692	1358	601
693	1361	600
694	1363	598
695	1364	596
696	1366	593
697	1367	591
698	1368	589
699	1370	587
700	1375	586
701	1377	584
702	1378	582
703	1380	580
704	1382	578
705	1387	577
706	1388	575
707	1390	573
708	1391	571
709	1393	569
710	1394	566
711	1396	565
712	1398	562
713	1400	560
714	1401	558
715	1402	556
716	1404	554
717	1407	552
718	1409	550
719	1410	548
720	1412	546
721	1414	544
722	1416	542
723	1417	540
724	1419	538
725	1421	536
726	1423	534
727	1424	532
728	1426	530
729	1427	528
730	1431	526
731	1433	524
732	1435	522
733	1436	520
734	1437	518
735	1439	516
736	1440	514
737	1442	512
738	1443	509
739	1445	508
740	1448	506
741	1451	504
742	1453	502
743	1455	500
744	1457	499
745	1459	496
746	1461	494
747	1462	492
748	1469	492
749	1471	490
750	1473	488
751	1474	486
752	1481	485
753	1482	483
754	1483	481
755	1485	479
756	1486	477
757	1488	475
758	1490	473
759	1492	471
760	1493	469
761	1494	466
762	1496	464
763	1497	462
764	1498	460
765	1501	458
766	1502	456
767	1505	454
768	1506	452
769	1508	450
770	1509	448
771	1511	446
772	1512	444
773	1515	442
774	1516	440
775	1518	438
776	1519	436
777	1522	434
778	1525	432
779	1527	430
780	1531	429
781	1535	428
782	1538	426
783	1540	424
784	1541	422
785	1543	420
786	1546	418
787	1548	416
788	1550	414
789	1551	412
790	1553	410
791	1555	408
792	1557	406
793	1558	404
794	1560	402
795	1561	400
796	1563	398
797	1564	396
798	1565	393
799	1567	391
800	1569	389
801	1571	387
802	1572	385
803	1574	383
804	1575	381
805	1576	379
806	1578	377
807	1579	375
808	1581	373
809	1582	371
810	1584	369
811	1585	367
812	1587	365
813	1590	363
814	1592	361
815	1594	359
816	1600	358
817	1601	356
818	1602	354
819	1604	352
820	1605	350
821	1607	348
822	1609	346
823	1611	344
824	1612	342
825	1614	340
826	1615	337
827	1616	335
828	1618	333
829	1619	331
830	1621	329
831	1622	327
832	1623	325
833	1625	323
834	1626	321
835	1627	319
836	1629	317
837	1630	315
838	1633	313
839	1635	311
840	1636	309
841	1638	307
842	1639	305
843	1640	303
844	1642	301
845	1643	299
846	1645	297
847	1647	295
848	1649	293
849	1650	291
850	1652	289
851	1653	287
852	1655	285
853	1657	283
854	1658	281
855	1659	279
856	1661	277
857	1662	275
858	1664	273
859	1665	271
860	1666	269
861	1668	267
862	1669	265
863	1671	263
864	1672	261
865	1673	259
866	1675	256
867	1676	254
868	1677	252
869	1679	250
870	1681	249
871	1683	247
872	1684	245
873	1686	243
874	1688	241
875	1689	239
876	1691	237
877	1692	235
878	1693	233
879	1695	231
880	1697	229
881	1698	227
882	1699	225
883	1701	223
884	1703	221
885	1704	219
886	1705	217
887	1707	215
888	1708	213
889	1709	211
890	1711	209
891	1712	207
892	1714	205
893	1715	203
894	1717	201
895	1718	199
896	1719	197
897	1721	195
898	1722	193
899	1725	191
900	1726	189
901	1727	187
902	1728	185
903	1730	183
904	1731	181
905	1733	179
906	1734	177
907	1735	175
908	1737	173
909	1738	171
910	1740	169
911	1741	168
912	1742	166
913	1744	164
914	1745	162
915	1747	160
916	1748	158
917	1750	156
918	1751	154
919	1752	152
920	1754	150
921	1756	148
922	1758	146
923	1760	144
924	1761	142
925	1762	140
926	1763	138
927	1765	136
928	1766	135
929	1767	133
930	1769	131
931	1770	129
932	1772	127
933	1773	125
934	1775	123
935	1777	121
936	1778	119
937	1779	117
938	1781	115
939	1782	113
940	1784	111
941	1786	109
942	1788	108
943	1789	106
944	1791	104
945	1792	102
946	1794	100
947	1795	98
948	1796	96
949	1798	94
950	1799	92
951	1801	90
952	1802	88
953	1803	86
954	1806	85
955	1808	83
956	1810	81
957	1811	79
958	1814	77
959	1815	75
960	1816	73
961	1817	71
962	1819	69
963	1820	68
964	1822	66
965	1824	64
966	1826	62
967	1827	60
968	1829	58
969	1830	56
970	1832	54
971	1834	52
972	1835	50
973	1837	49
974	1838	47
975	1840	45
976	1842	43
977	1843	41
978	1845	39
979	1847	37
980	1849	35
981	1850	33
982	1852	32
983	1853	30
984	1855	28
985	1856	26
986	1858	24
987	1860	22
988	1861	20
989	1863	18
990	1864	16
991	1866	15
992	1868	13
993	1869	11
994	1871	9
995	1872	7
996	1874	5
997	1875	3
998	1877	1
999	1879	0
